# 형식: 코드\t종목명
# 사용자가 제공한 한국 ETF 목록 (공식 KRX 단축명)
457990	PLUS 태양광&ESS
458730	TIGER 미국배당다우존스
458750	TIGER 미국배당다우존스타겟커버드콜1호
458760	TIGER 미국배당다우존스타겟커버드콜2호
459750	RISE 글로벌주식분산액티브
459790	KIWOOM 미국성장기업30액티브
460660	RISE 미국S&P배당킹
461340	HANARO 글로벌생성형AI액티브
461950	KODEX 2차전지핵심소재10
462900	KoAct 바이오헬스케어액티브
463050	TIMEFOLIO K바이오액티브
463250	TIGER K방산&우주
463640	KODEX 미국S&P500유틸리티
463680	KODEX 미국S&P500테크놀로지
464310	TIGER 글로벌AI&로보틱스 INDXX
464610	SOL 의료기기소부장Fn
464920	PLUS 일본반도체소부장
465330	RISE 2차전지TOP10
465580	ACE 미국빅테크TOP7 Plus
465660	TIGER 일본반도체FACTSET
465670	TIGER 미국캐시카우100
466810	BNK 2차전지양극재
466920	SOL 조선TOP3플러스
466930	SOL 자동차TOP3플러스
466950	TIGER 글로벌AI액티브
469050	RISE 미국반도체NYSE(H)
469070	RISE AI&로봇
469150	ACE AI반도체포커스
471760	TIGER AI반도체핵심공정
471780	TIGER 코리아테크액티브
471990	KODEX AI반도체핵심장비
472160	TIGER 미국테크TOP10 INDXX(H)
473460	KODEX 미국서학개미
473590	ACE 미국주식베스트셀러
473640	HANARO 글로벌금채굴기업
474220	TIGER 미국테크TOP10타겟커버드콜
474590	WON 반도체밸류체인액티브
475050	ACE KPOP포커스
475300	SOL 반도체전공정
475310	SOL 반도체후공정
475350	RISE 버크셔포트폴리오TOP10
476070	KODEX 글로벌비만치료제TOP2 Plus
476260	HANARO 반도체핵심공정주도주
476690	TIGER 글로벌비만치료제TOP2Plus
476850	KoAct 배당성장액티브
478150	TIMEFOLIO 글로벌우주테크&방산액티브
479620	SOL 미국AI반도체칩메이커
479730	TIGER 인도빌리언컨슈머
479850	HANARO K-뷰티
480020	ACE 미국빅테크7+데일리타겟커버드콜(합성)
480030	ACE 미국500데일리타겟커버드콜(합성)
480040	ACE 미국반도체데일리타겟커버드콜(합성)
480310	TIGER 글로벌온디바이스AI
481180	SOL 미국AI소프트웨어
481190	SOL 미국테크TOP10
482730	TIGER 미국S&P500타겟데일리커버드콜
483020	KIWOOM 의료AI
483030	KIWOOM 미국블록버스터바이오테크의약품+
483280	KODEX 미국AI테크TOP10타겟커버드콜
483290	KODEX 미국배당다우존스타겟커버드콜
483320	ACE 엔비디아밸류체인액티브
483330	ACE 마이크로소프트밸류체인액티브
483340	ACE 구글밸류체인액티브
483570	KCGI 미국S&P500 TOP10
485540	KODEX 미국AI테크TOP10
485690	RISE 미국AI밸류체인TOP3Plus
486240	DAISHIN343 AI반도체&인프라액티브
486290	TIGER 미국나스닥100타겟데일리커버드콜
486450	SOL 미국AI전력인프라
487230	KODEX 미국AI전력핵심인프라
487240	KODEX AI전력핵심설비
488500	TIGER 미국S&P500동일가중
489250	KODEX 미국배당다우존스
489290	WON 미국빌리어네어
490090	TIGER 미국AI빅테크10
490480	SOL K방산
490590	RISE 미국AI밸류체인데일리고정커버드콜
490600	RISE 미국배당100데일리고정커버드콜
491010	TIGER 글로벌AI전력인프라액티브
491090	KODEX 미국테크TOP3플러스
491620	RISE 미국테크100데일리고정커버드콜
491820	HANARO 전력설비투자
491830	TIGER 미국AI반도체팹리스
493420	SOL 미국배당다우존스2호
493810	TIGER 미국AI빅테크10타겟데일리커버드콜
494210	SOL 미국500타겟데일리커버드콜액티브
494220	UNICORN SK하이닉스밸류체인액티브
494300	KODEX 미국나스닥100데일리커버드콜OTM
494340	ACE 글로벌AI맞춤형반도체
494420	PLUS 미국배당증가성장주데일리커버드콜
494670	TIGER 조선TOP10
494840	TIGER 미국방산TOP10
495060	TIMEFOLIO 코리아밸류업액티브
496080	TIGER 코리아밸류업
496770	PLUS 글로벌방산
497570	TIGER 미국필라델피아AI반도체나스닥
497780	KoAct 미국천연가스인프라액티브
498050	HANARO 바이오코리아액티브
498270	KIWOOM 미국양자컴퓨팅
